signing_date,publication_date,executive_order_number,title,Generated_Initial_Codes,Finalized_Theme_Name,Theme_Confidence_Score,citation,document_number,end_page,html_url,pdf_url,type,subtype,start_page,disposition_notes,not_received_for_publication
2025-01-20,2025-01-29,14155,Withdrawing the United States From the World Health Organization,International Affairs,Foreign Policy and External Relations,1,90 FR 8361,2025-01957,8362,https://www.federalregister.gov/documents/2025/01/29/2025-01957/withdrawing-the-united-states-from-the-world-health-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01957.pdf,Presidential Document,Executive Order,8361,"Revokes: EO 13987, January 20, 2021; Memo of July 15, 2025",
2025-01-20,2025-01-29,14158,"Establishing and Implementing the President's ""Department of Government Efficiency""",Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 8441,2025-02005,8442,https://www.federalregister.gov/documents/2025/01/29/2025-02005/establishing-and-implementing-the-presidents-department-of-government-efficiency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02005.pdf,Presidential Document,Executive Order,8441,"See: EO 14210, February 11, 2025; EO 14219, February 19, 2025; EO 14222, February 26, 2025; EO 14270, April 9, 2025; EO 14300, May 23, 2025",
2025-01-20,2025-01-29,14159,Protecting the American People Against Invasion,Immigration,"Public Order, Crime, and Border Enforcement",1,90 FR 8443,2025-02006,8448,https://www.federalregister.gov/documents/2025/01/29/2025-02006/protecting-the-american-people-against-invasion,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02006.pdf,Presidential Document,Executive Order,8443,"Revokes: EO 13993, January 20, 2021; EO 14010, February 2, 2021; EO 14011, February 2, 2021; EO 14012, February 2, 2021
 See: EO 14288, April 28, 2025; EO 14390, March 6, 2026",
2025-01-20,2025-01-29,14157,Designating Cartels and Other Organizations as Foreign Terrorist Organizations and Specially Designated Global Terrorists,International Affairs; Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 8439,2025-02004,8440,https://www.federalregister.gov/documents/2025/01/29/2025-02004/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02004.pdf,Presidential Document,Executive Order,8439,"Amends: EO 13224, September 23, 2001
 See: EO 14193, February 1, 2025; EO 14195, February 1, 2025; Notice of January 12, 2026 (91 FR 1665)",
2025-01-20,2025-01-30,14162,Putting America First in International Environmental Agreements,International Affairs; Environment,Environmental Stewardship and Beautification,0.95,90 FR 8455,2025-02010,8457,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02010.pdf,Presidential Document,Executive Order,8455,"See: Memo of July 15, 2025",
2025-01-20,2025-01-30,14164,Restoring the Death Penalty and Protecting Public Safety,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 8463,2025-02012,8465,https://www.federalregister.gov/documents/2025/01/30/2025-02012/restoring-the-death-penalty-and-protecting-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02012.pdf,Presidential Document,Executive Order,8463,,
2025-01-20,2025-01-30,14165,Securing Our Borders,Immigration,"Public Order, Crime, and Border Enforcement",1,90 FR 8467,2025-02015,8469,https://www.federalregister.gov/documents/2025/01/30/2025-02015/securing-our-borders,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02015.pdf,Presidential Document,Executive Order,8467,,
2025-01-20,2025-01-30,14167,Clarifying the Military's Role in Protecting the Territorial Integrity of the United States,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 8613,2025-02089,8614,https://www.federalregister.gov/documents/2025/01/30/2025-02089/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02089.pdf,Presidential Document,Executive Order,8613,,
2025-01-20,2025-01-30,14168,Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 8615,2025-02090,8618,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02090.pdf,Presidential Document,Executive Order,8615,"Rescinds: EO 13988, January 20, 2021; EO 14004, January 25, 2021; EO 14021, March 8, 2021; EO 14075, June 15, 2022
 See: EO 14183, January 27, 2025; EO 14185, January 27, 2025; EO 14201, February 5, 2025",
2025-01-20,2025-01-30,14163,Realigning the United States Refugee Admissions Program,Immigration,"Public Order, Crime, and Border Enforcement",1,90 FR 8459,2025-02011,8461,https://www.federalregister.gov/documents/2025/01/30/2025-02011/realigning-the-united-states-refugee-admissions-program,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02011.pdf,Presidential Document,Executive Order,8459,"Revokes: EO 14013, February 4, 2021
 See: Presidential Determination 2025-13, September 30, 2025",
2025-01-20,2025-01-30,14166,Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok,Public Admin,Executive Coordination and Administrative Task Forces,0.99,90 FR 8611,2025-02087,8612,https://www.federalregister.gov/documents/2025/01/30/2025-02087/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02087.pdf,Presidential Document,Executive Order,8611,"See: EO 14258, April 4, 2025; EO 14310, June 19, 2025; EO 14350, September 16, 2025; EO 14352, September 25, 2025",
2025-01-20,2025-01-30,14169,Reevaluating and Realigning United States Foreign Aid,International Affairs,Foreign Policy and External Relations,1,90 FR 8619,2025-02091,8620,https://www.federalregister.gov/documents/2025/01/30/2025-02091/reevaluating-and-realigning-united-states-foreign-aid,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02091.pdf,Presidential Document,Executive Order,8619,"See: Memo of July 15, 2025",
2025-01-20,2025-01-30,14170,Reforming the Federal Hiring Process and Restoring Merit to Government Service,Public Admin,"Civil Rights, Equality, and Gender Policy",1,90 FR 8621,2025-02094,8623,https://www.federalregister.gov/documents/2025/01/30/2025-02094/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02094.pdf,Presidential Document,Executive Order,8621,"See: EO 14210, February 11, 2025; EO 14356, October 15, 2025",
2025-01-20,2025-01-30,14161,Protecting the United States From Foreign Terrorists and Other National Security and Public Safety Threats,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 8451,2025-02009,8453,https://www.federalregister.gov/documents/2025/01/30/2025-02009/protecting-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02009.pdf,Presidential Document,Executive Order,8451,"See: Proc. 10949, June 4, 2025; Proc. 10949, June 4, 2025; Presidential Determination 2025-13, September 30, 2025; Proc. 10998, December 16, 2025",
2025-01-20,2025-01-31,14171,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 8625,2025-02095,8627,https://www.federalregister.gov/documents/2025/01/31/2025-02095/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02095.pdf,Presidential Document,Executive Order,8625,"Reinstates: EO 13957, October 21, 2020
 Revokes: EO 14003, January 22, 2021",
2025-01-20,2025-01-31,14172,Restoring Names That Honor American Greatness,Public Admin,Cultural Heritage and National Pastime,1,90 FR 8629,2025-02096,8631,https://www.federalregister.gov/documents/2025/01/31/2025-02096/restoring-names-that-honor-american-greatness,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02096.pdf,Presidential Document,Executive Order,8629,,
2025-01-21,2025-01-31,14173,Ending Illegal Discrimination and Restoring Merit-Based Opportunity,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 8633,2025-02097,8636,https://www.federalregister.gov/documents/2025/01/31/2025-02097/ending-illegal-discrimination-and-restoring-merit-based-opportunity,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02097.pdf,Presidential Document,Executive Order,8633,"Revokes: EO 11246, September 24, 1965; EO 12898, February 11, 1994; EO 13583, August 18, 2011; EO 13672, July 21, 2014; Memo. of October 5, 2016",
2025-01-21,2025-01-31,14174,Revocation of Certain Executive Orders,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 8637,2025-02098,8637,https://www.federalregister.gov/documents/2025/01/31/2025-02098/revocation-of-certain-executive-orders,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02098.pdf,Presidential Document,Executive Order,8637,,
2025-01-22,2025-01-31,14175,Designation of Ansar Allah as a Foreign Terrorist Organization,International Affairs; Law Crime,Foreign Policy and External Relations,1,90 FR 8639,2025-02103,8640,https://www.federalregister.gov/documents/2025/01/31/2025-02103/designation-of-ansar-allah-as-a-foreign-terrorist-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02103.pdf,Presidential Document,Executive Order,8639,,
2025-01-23,2025-01-31,14177,President's Council of Advisors on Science and Technology,Science Technology,"Technology, Science, and Artificial Intelligence Development",1,90 FR 8643,2025-02121,8645,https://www.federalregister.gov/documents/2025/01/31/2025-02121/presidents-council-of-advisors-on-science-and-technology,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02121.pdf,Presidential Document,Executive Order,8643,"See: EO 12968, August 2, 1995; EO 14009, September 29, 2023
 Revokes: EO 14007, January 27, 2021
 Continued by: EO 14354, September 29, 2025",
2025-01-23,2025-01-31,14179,Removing Barriers to American Leadership in Artificial Intelligence,Science Technology,"Technology, Science, and Artificial Intelligence Development",1,90 FR 8741,2025-02172,8742,https://www.federalregister.gov/documents/2025/01/31/2025-02172/removing-barriers-to-american-leadership-in-artificial-intelligence,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf,Presidential Document,Executive Order,8741,"See: EO 14365, December 11, 2025",
2025-01-23,2025-01-31,14176,"Declassification of Records Concerning the Assassinations of President John F. Kennedy, Senator Robert F. Kennedy, and the Reverend Dr. Martin Luther King, Jr.",Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 8641,2025-02116,8642,https://www.federalregister.gov/documents/2025/01/31/2025-02116/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy-senator-robert,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02116.pdf,Presidential Document,Executive Order,8641,,
2025-01-23,2025-01-31,14178,Strengthening American Leadership in Digital Financial Technology,Commerce,Domestic Investment and Market Competition,1,90 FR 8647,2025-02123,8650,https://www.federalregister.gov/documents/2025/01/31/2025-02123/strengthening-american-leadership-in-digital-financial-technology,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02123.pdf,Presidential Document,Executive Order,8647,"Revokes: EO 14067, March 9, 2022",
2025-01-24,2025-01-31,14182,Enforcing the Hyde Amendment,Public Admin,"Health, Reproductive Care, and Medical Research",1,90 FR 8751,2025-02175,8752,https://www.federalregister.gov/documents/2025/01/31/2025-02175/enforcing-the-hyde-amendment,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02175.pdf,Presidential Document,Executive Order,8751,"Revokes: EO 14076, July 8, 2022; EO 14079, August 3, 2022",
2025-01-24,2025-01-31,14181,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,Water Resources; Disaster Response,Water Supply and Disaster Response,1,90 FR 8747,2025-02174,8750,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02174.pdf,Presidential Document,Executive Order,8747,"See: EO 14377, January 23, 2026; EO 14378, January 23, 2026",
2025-01-24,2025-01-31,14180,Council To Assess the Federal Emergency Management Agency,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 8743,2025-02173,8745,https://www.federalregister.gov/documents/2025/01/31/2025-02173/council-to-assess-the-federal-emergency-management-agency,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02173.pdf,Presidential Document,Executive Order,8743,"See: EO 14239, March 18, 2025; EO 14397, March 24, 2026",
2025-01-27,2025-02-03,14183,Prioritizing Military Excellence and Readiness,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 8757,2025-02178,8759,https://www.federalregister.gov/documents/2025/02/03/2025-02178/prioritizing-military-excellence-and-readiness,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02178.pdf,Presidential Document,Executive Order,8757,"See: EO 14148, January 20, 2025; EO 14168, January 20, 2025
 Revokes: EO 14004, January 25, 2021",
2025-01-27,2025-02-03,14184,Reinstating Service Members Discharged Under the Military's COVID-19 Vaccination Mandate,Defense,"Health, Reproductive Care, and Medical Research",1,90 FR 8761,2025-02180,8762,https://www.federalregister.gov/documents/2025/02/03/2025-02180/reinstating-service-members-discharged-under-the-militarys-covid-19-vaccination-mandate,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02180.pdf,Presidential Document,Executive Order,8761,,
2025-01-27,2025-02-03,14185,Restoring America's Fighting Force,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 8763,2025-02181,8765,https://www.federalregister.gov/documents/2025/02/03/2025-02181/restoring-americas-fighting-force,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02181.pdf,Presidential Document,Executive Order,8763,"See: EO 13950, September 22, 2020; EO 14168, January 20, 2025",
2025-01-27,2025-02-03,14186,The Iron Dome for America,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 8767,2025-02182,8769,https://www.federalregister.gov/documents/2025/02/03/2025-02182/the-iron-dome-for-america,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02182.pdf,Presidential Document,Executive Order,8767,"See: EO 14369, December 18, 2025",
2025-01-28,2025-02-03,14187,Protecting Children From Chemical and Surgical Mutilation,Health,"Health, Reproductive Care, and Medical Research",0.79,90 FR 8771,2025-02194,8773,https://www.federalregister.gov/documents/2025/02/03/2025-02194/protecting-children-from-chemical-and-surgical-mutilation,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02194.pdf,Presidential Document,Executive Order,8771,,
2025-01-29,2025-02-03,14190,Ending Radical Indoctrination in K-12 Schooling,Education,Education and Higher-Ed Transparency,1,90 FR 8853,2025-02232,8857,https://www.federalregister.gov/documents/2025/02/03/2025-02232/ending-radical-indoctrination-in-k-12-schooling,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02232.pdf,Presidential Document,Executive Order,8853,"See: EO 13958, November 2, 2020; EO 13985, January 20, 2021; EO 14280, April 23, 2025",
2025-01-29,2025-02-03,14191,Expanding Educational Freedom and Opportunity for Families,Education,Education and Higher-Ed Transparency,1,90 FR 8859,2025-02233,8860,https://www.federalregister.gov/documents/2025/02/03/2025-02233/expanding-educational-freedom-and-opportunity-for-families,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02233.pdf,Presidential Document,Executive Order,8859,,
2025-01-29,2025-02-03,14188,Additional Measures To Combat Anti-Semitism,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 8847,2025-02230,8848,https://www.federalregister.gov/documents/2025/02/03/2025-02230/additional-measures-to-combat-anti-semitism,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02230.pdf,Presidential Document,Executive Order,8847,"See: EO 13899, December 11, 2019",
2025-01-29,2025-02-03,14189,Celebrating America's 250th Birthday,Public Admin,Cultural Heritage and National Pastime,1,90 FR 8849,2025-02231,8851,https://www.federalregister.gov/documents/2025/02/03/2025-02231/celebrating-americas-250th-birthday,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02231.pdf,Presidential Document,Executive Order,8849,"See: EO 14029, May 14, 2021; EO 14252, March 27, 2025
 Reinstates: EO 13933, June 26, 2020; EO 13934, July 3, 2020; EO 13978, January 18, 2021",
2025-01-31,2025-02-06,14192,Unleashing Prosperity Through Deregulation,Commerce,Domestic Investment and Market Competition,1,90 FR 9065,2025-02345,9067,https://www.federalregister.gov/documents/2025/02/06/2025-02345/unleashing-prosperity-through-deregulation,https://www.govinfo.gov/content/pkg/FR-2025-02-06/pdf/2025-02345.pdf,Presidential Document,Executive Order,9065,"See: EO 12866, September 30, 1993; EO 14265, April 9, 2025; EO 14269, April 9, 2025; EO 14270, April 9, 2025; EO 14275, April 15, 2025",
2025-02-01,2025-02-07,14195,Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China,International Affairs; Law Crime,Foreign Policy and External Relations,1,90 FR 9121,2025-02408,9124,https://www.federalregister.gov/documents/2025/02/07/2025-02408/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china,https://www.govinfo.gov/content/pkg/FR-2025-02-07/pdf/2025-02408.pdf,Presidential Document,Executive Order,9121,"See: Proc. 10886, January 20, 2025; EO 14157, January 20, 2025; Memo. of January 20, 2025; EO 14200, February 5, 2025; EO 14256, April 2, 2025; Proc. 10962, July 30, 2025; EO 14324, July 30, 2025; Notice of January 12, 2026 (91 FR 1665); EO 14388, February 20, 2026; EO 14389, February 20, 2026
 Amended by: EO 14228, March 3, 2025",
2025-02-01,2025-02-07,14193,Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border,International Affairs,"Public Order, Crime, and Border Enforcement",1,90 FR 9113,2025-02406,9116,https://www.federalregister.gov/documents/2025/02/07/2025-02406/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,https://www.govinfo.gov/content/pkg/FR-2025-02-07/pdf/2025-02406.pdf,Presidential Document,Executive Order,9113,"See: Proc. 10886, January 20, 2025; EO 14156, January 20, 2025; EO 14157, January 20, 2025; Memo. of January 20, 2025; EO 14197, February 3, 2025; EO 14231, March 6, 2025; EO 14257, April 2, 2025; EO 14289, April 29, 2025; Proc. 10962, July 30, 2025; EO 14324, July 30, 2025; EO 14325, July 31, 2025; Notice of January 12, 2026 (91 FR 1665); Proc. 11002, January 14, 2026; EO 14388, February 20, 2026; EO 14389, February 20, 2026
 Amended by: EO 14226, March 2, 2025",
2025-02-01,2025-02-07,14194,Imposing Duties To Address the Situation at Our Southern Border,Immigration,"Public Order, Crime, and Border Enforcement",1,90 FR 9117,2025-02407,9120,https://www.federalregister.gov/documents/2025/02/07/2025-02407/imposing-duties-to-address-the-situation-at-our-southern-border,https://www.govinfo.gov/content/pkg/FR-2025-02-07/pdf/2025-02407.pdf,Presidential Document,Executive Order,9117,"See: Proc. 10886, January 20, 2025; EO 14198, February 3, 2025; EO 14232, March 6, 2025; EO 14324, July 30, 2025; Notice of January 12, 2026 (91 FR 1665); Proc. 11002, January 14, 2026; EO 14388, February 20, 2026; EO 14389, February 20, 2026
 Amended by: EO 14227, March 2, 2025; EO 14289, April 29, 2025; Proc. 10962, July 30, 2025",
2025-02-03,2025-02-10,14196,A Plan for Establishing a United States Sovereign Wealth Fund,Macro Economy,"National Security, Defense, and Strategic Resilience",0.96,90 FR 9181,2025-02477,9182,https://www.federalregister.gov/documents/2025/02/10/2025-02477/a-plan-for-establishing-a-united-states-sovereign-wealth-fund,https://www.govinfo.gov/content/pkg/FR-2025-02-10/pdf/2025-02477.pdf,Presidential Document,Executive Order,9181,,
2025-02-03,2025-02-10,14198,Progress on the Situation at Our Southern Border,Immigration,"Public Order, Crime, and Border Enforcement",1,90 FR 9185,2025-02479,9186,https://www.federalregister.gov/documents/2025/02/10/2025-02479/progress-on-the-situation-at-our-southern-border,https://www.govinfo.gov/content/pkg/FR-2025-02-10/pdf/2025-02479.pdf,Presidential Document,Executive Order,9185,"See: EO 14194, February 1, 2025; EO 14227, March 2, 2025; EO 14257, April 2, 2025; EO 14289, April 29, 2025",
2025-02-03,2025-02-10,14197,Progress on the Situation at Our Northern Border,International Affairs,Foreign Policy and External Relations,1,90 FR 9183,2025-02478,9184,https://www.federalregister.gov/documents/2025/02/10/2025-02478/progress-on-the-situation-at-our-northern-border,https://www.govinfo.gov/content/pkg/FR-2025-02-10/pdf/2025-02478.pdf,Presidential Document,Executive Order,9183,"See: EO 14193, February 1, 2025; EO 14227, March 2, 2025; EO 14257, April 2, 2025; EO 14289, April 29, 2025",
