Data_Partition,Cluster_ID,Top_Keywords,Topic_Summarization,Number_of_Posts
part_a,10,"[{'term': 'trump', 'score': 950.0}, {'term': 'gorka', 'score': 821.0}, {'term': 'sebastian', 'score': 428.0}, {'term': 'security', 'score': 311.0}, {'term': 'national', 'score': 226.0}, {'term': 'counterterrorism', 'score': 195.0}, {'term': 'president', 'score': 175.0}, {'term': 'nazi', 'score': 166.0}, {'term': 'white', 'score': 157.0}, {'term': 'senior', 'score': 150.0}]","{'title': ""Trump's Controversial Counterterrorism Pick"", 'description': ""Sebastian Gorka, a far-right commentator with ties to a Nazi-linked Hungarian group and Islamophobic views, has been appointed to a senior national security role in Trump's second administration. His nomination has sparked widespread criticism over his extremist affiliations, lack of expertise, and history of failing security clearance.""}",577
part_a,11,"[{'term': 'trump', 'score': 1504.0}, {'term': 'archivist', 'score': 907.0}, {'term': 'national', 'score': 761.0}, {'term': 'archives', 'score': 635.0}, {'term': 'united', 'score': 429.0}, {'term': 'states', 'score': 429.0}, {'term': 'president', 'score': 398.0}, {'term': 'documents', 'score': 389.0}, {'term': 'shogan', 'score': 357.0}, {'term': 'colleen', 'score': 320.0}]","{'title': 'Trump Fires Archivist Over Documents Case', 'description': ""Posts detail President Trump's dismissal of Archivist Colleen Shogan, citing retaliation over the National Archives' role in the classified documents investigation. Critics warn this undermines government transparency and historical accountability.""}",773
part_a,12,"[{'term': 'trump', 'score': 3512.0}, {'term': 'usps', 'score': 1593.0}, {'term': 'service', 'score': 1476.0}, {'term': 'postal', 'score': 1443.0}, {'term': 'dejoy', 'score': 1282.0}, {'term': 'mail', 'score': 818.0}, {'term': 'post', 'score': 751.0}, {'term': 'privatizing', 'score': 618.0}, {'term': 'office', 'score': 601.0}, {'term': 'biden', 'score': 541.0}]","{'title': ""Trump's Plan to Privatize USPS Sparks Outrage"", 'description': ""A cluster of posts expresses alarm over Donald Trump's reported intentions to privatize the U.S. Postal Service, criticizing the move as a threat to rural communities, democratic integrity, and public service. Many highlight Louis DeJoy’s controversial role as Trump-appointed Postmaster General and warn of systemic damage to mail delivery, elections, and workers’ rights.""}",2966
part_a,13,"[{'term': 'dominion', 'score': 475.0}, {'term': 'infernal', 'score': 451.0}, {'term': 'shadows', 'score': 422.0}, {'term': 'veil', 'score': 238.0}, {'term': 'eldritch', 'score': 222.0}, {'term': 'war', 'score': 210.0}, {'term': 'abyss', 'score': 176.0}, {'term': 'frozen', 'score': 145.0}, {'term': 'iron', 'score': 144.0}, {'term': 'throne', 'score': 143.0}]","{'title': 'Eldritch Tyranny and Political Apocalypse', 'description': 'The posts depict a dark, surreal political fantasy where authoritarian regimes, occult forces, and dystopian power struggles converge. Themes include fallen governments, infernal conspiracies, frozen despotism, and the collapse of democratic institutions under shadowy, otherworldly rule.'}",2898
part_a,14,"[{'term': 'trump', 'score': 1624.0}, {'term': 'lake', 'score': 1171.0}, {'term': 'voice', 'score': 1154.0}, {'term': 'america', 'score': 1147.0}, {'term': 'kari', 'score': 1048.0}, {'term': 'news', 'score': 424.0}, {'term': 'voa', 'score': 358.0}, {'term': 'media', 'score': 328.0}, {'term': 'lead', 'score': 311.0}, {'term': 'director', 'score': 296.0}]","{'title': 'Trump Appoints Kari Lake to Lead VOA', 'description': 'President-elect Donald Trump has nominated Kari Lake, a staunch Trump loyalist and election denier, to lead the Voice of America, raising concerns about the politicization of U.S. global media and the erosion of journalistic independence.'}",978
part_a,15,"[{'term': 'trump', 'score': 1181.0}, {'term': 'hud', 'score': 637.0}, {'term': 'housing', 'score': 602.0}, {'term': 'black', 'score': 552.0}, {'term': 'urban', 'score': 474.0}, {'term': 'turner', 'score': 432.0}, {'term': 'scott', 'score': 389.0}, {'term': 'secretary', 'score': 338.0}, {'term': 'development', 'score': 310.0}, {'term': 'lead', 'score': 174.0}]","{'title': ""Trump's Pattern of Token Black Appointments to HUD"", 'description': ""The posts critique Donald Trump's repeated selection of Black individuals for the Department of Housing and Urban Development (HUD), highlighting a perceived pattern of racial tokenism. Critics argue that Trump equates 'urban' with 'Black' and uses HUD as a symbolic 'diversity' checkbox, often appointing unqualified candidates while ignoring broader racial equity in his administration.""}",884
part_a,16,"[{'term': 'time', 'score': 1196.0}, {'term': 'trump', 'score': 1192.0}, {'term': 'daylight', 'score': 1012.0}, {'term': 'saving', 'score': 653.0}, {'term': 'savings', 'score': 331.0}, {'term': 'end', 'score': 299.0}, {'term': 'donald', 'score': 239.0}, {'term': 'wants', 'score': 235.0}, {'term': 'president', 'score': 195.0}, {'term': 'elect', 'score': 176.0}]","{'title': ""Trump's Push to End Daylight Saving Time"", 'description': ""Posts center on Donald Trump's repeated calls to eliminate Daylight Saving Time, citing it as inconvenient and costly. The discussion includes reactions from supporters and critics, debates over permanent DST or standard time, and skepticism about Trump's motivations and understanding of the issue.""}",861
part_a,17,"[{'term': '2025', 'score': 778.0}, {'term': 'republican', 'score': 716.0}, {'term': 'sponsors', 'score': 675.0}, {'term': 'info', 'score': 671.0}, {'term': 'status', 'score': 608.0}, {'term': '01', 'score': 607.0}, {'term': 'committee', 'score': 600.0}, {'term': 'referred', 'score': 523.0}, {'term': 'house', 'score': 424.0}, {'term': 'act', 'score': 394.0}]","{'title': 'Tax Reform and Free Speech Controversies', 'description': 'This cluster centers on a mix of proposed tax legislation, including bills to expand deductions, modify charitable contributions, and reform energy and healthcare-related tax incentives, alongside high-profile political controversies involving free speech at LSU Law School, where a professor faced suspension over comments about Trump and the governor. The posts reflect broader ideological debates on fiscal policy, government transparency, and constitutional rights.'}",759
part_a,18,"[{'term': 'trump', 'score': 1459.0}, {'term': 'foreign', 'score': 1316.0}, {'term': 'law', 'score': 779.0}, {'term': 'bribery', 'score': 760.0}, {'term': 'officials', 'score': 696.0}, {'term': 'enforcement', 'score': 694.0}, {'term': 'order', 'score': 428.0}, {'term': 'banning', 'score': 413.0}, {'term': 'pause', 'score': 386.0}, {'term': 'corrupt', 'score': 352.0}]","{'title': 'Trump Pauses Anti-Bribery Law Enforcement', 'description': ""A cluster of posts alleges that President Donald Trump signed an executive order pausing enforcement of the Foreign Corrupt Practices Act, a 1977 law banning U.S. companies from bribing foreign officials. Critics argue the move legalizes corruption, benefits Trump's business interests, and signals a broader embrace of unethical practices.""}",771
part_a,19,"[{'term': 'instagram', 'score': 1337.0}, {'term': 'world', 'score': 676.0}, {'term': 'friends', 'score': 676.0}, {'term': 'welcome', 'score': 668.0}, {'term': 'check', 'score': 668.0}, {'term': 'family', 'score': 668.0}, {'term': 'sign', 'score': 664.0}, {'term': 'sharing', 'score': 663.0}, {'term': 'capturing', 'score': 663.0}, {'term': 'interests', 'score': 663.0}]","{'title': ""Outrage Over Trump's Return and MAGA Critics"", 'description': ""The posts express strong opposition to Donald Trump's return to power, criticizing his policies, rhetoric, and associations. Many highlight concerns about authoritarianism, hypocrisy within the GOP, and the perceived dangers of MAGA ideology, using satire, anger, and calls to action.""}",665
part_a,20,"[{'term': 'trump', 'score': 2084.0}, {'term': 'jfk', 'score': 1319.0}, {'term': 'files', 'score': 1297.0}, {'term': 'assassination', 'score': 856.0}, {'term': 'release', 'score': 831.0}, {'term': 'kennedy', 'score': 774.0}, {'term': 'mlk', 'score': 755.0}, {'term': 'rfk', 'score': 619.0}, {'term': 'president', 'score': 583.0}, {'term': 'order', 'score': 505.0}]","{'title': ""Trump's JFK Files Release: A Distraction?"", 'description': ""Trump signed an executive order to declassify files on the assassinations of JFK, RFK, and MLK Jr., but critics argue it's a strategic move to divert attention from unredacted documents, particularly the Epstein files, which remain withheld due to potential implications for Trump himself.""}",1261
part_a,21,"[{'term': 'maga', 'score': 573.0}, {'term': 'krav', 'score': 562.0}, {'term': 'martial', 'score': 84.0}, {'term': 'like', 'score': 76.0}, {'term': 'arts', 'score': 56.0}, {'term': 'self', 'score': 49.0}, {'term': 'defense', 'score': 47.0}, {'term': 'just', 'score': 46.0}, {'term': 'training', 'score': 43.0}, {'term': 'art', 'score': 42.0}]","{'title': 'Krav Maga: Power, Controversy, and Self-Defense', 'description': 'This cluster explores Krav Maga through personal experiences, debates on its effectiveness, and critiques of its militaristic origins and aggressive techniques. Posts highlight its appeal as a practical self-defense system, while also questioning its ethics, real-world applicability, and cultural associations.'}",556
part_a,22,"[{'term': 'trump', 'score': 1979.0}, {'term': 'wiles', 'score': 1120.0}, {'term': 'susie', 'score': 890.0}, {'term': 'staff', 'score': 705.0}, {'term': 'chief', 'score': 675.0}, {'term': 'house', 'score': 542.0}, {'term': 'white', 'score': 538.0}, {'term': 'president', 'score': 329.0}, {'term': 'musk', 'score': 281.0}, {'term': 'donald', 'score': 269.0}]","{'title': ""Susie Wiles: Trump's Gatekeeper and Power Broker"", 'description': 'The posts center on Susie Wiles, Donald Trump’s newly appointed White House chief of staff, highlighting her role in enforcing discipline, limiting access to Trump, and managing internal conflicts—particularly with Elon Musk—while facing scrutiny over her lobbying past and the contradictions in Trump’s anti-lobbyist rhetoric. Her appointment marks a shift toward control and structure in the incoming administration.'}",1024
part_a,23,"[{'term': 'trump', 'score': 1888.0}, {'term': 'epshteyn', 'score': 997.0}, {'term': 'boris', 'score': 783.0}, {'term': 'aide', 'score': 457.0}, {'term': 'president', 'score': 386.0}, {'term': 'allegations', 'score': 379.0}, {'term': 'elect', 'score': 363.0}, {'term': 'donald', 'score': 316.0}, {'term': 'accused', 'score': 306.0}, {'term': 'potential', 'score': 278.0}]","{'title': 'Trump Aide Accused of Pay-to-Play Scheme', 'description': 'A top adviser to President-elect Donald Trump, Boris Epshteyn, is under investigation for allegedly demanding monthly payments from potential cabinet nominees in exchange for lobbying on their behalf. The internal review found he used his proximity to Trump to profit personally, sparking calls for transparency and raising concerns about corruption in the transition. Epshteyn denies the allegations.'}",715
part_a,24,"[{'term': 'trump', 'score': 1051.0}, {'term': 'duffy', 'score': 875.0}, {'term': 'transportation', 'score': 791.0}, {'term': 'sean', 'score': 702.0}, {'term': 'secretary', 'score': 618.0}, {'term': 'fox', 'score': 364.0}, {'term': 'host', 'score': 261.0}, {'term': 'world', 'score': 188.0}, {'term': 'real', 'score': 180.0}, {'term': 'news', 'score': 180.0}]","{'title': ""Trump's Reality TV Pick for Transportation Secretary"", 'description': ""Posts criticize Donald Trump's nomination of Sean Duffy, a former 'Real World' and 'Road Rules' contestant, as Secretary of Transportation, highlighting his lack of relevant experience and ties to Fox News, while mocking the decision as absurd and politically motivated.""}",689
part_a,25,"[{'term': 'trump', 'score': 1685.0}, {'term': 'nazi', 'score': 1108.0}, {'term': 'kkking', 'score': 1083.0}, {'term': 'cc', 'score': 770.0}, {'term': 'stop', 'score': 684.0}, {'term': 'kkkarma', 'score': 560.0}, {'term': 'vanilla', 'score': 552.0}, {'term': 'isis', 'score': 550.0}, {'term': 'youtube', 'score': 549.0}, {'term': 'video', 'score': 545.0}]","{'title': 'Trump Criticism and Conspiracy Rhetoric', 'description': ""The posts collectively express intense opposition to Donald Trump, using inflammatory language, conspiracy theories, and repeated references to 'KKKING TRUMP,' 'NAZI VANILLA ISIS DRONES,' and 'GLOBAL KKKARMA LOOMS.' They focus on accusations of racism, criminality, and moral decay, often linking Trump to broader political and cultural conspiracies.""}",1149
part_a,26,"[{'term': 'site', 'score': 948.0}, {'term': 'trump', 'score': 898.0}, {'term': 'crash', 'score': 600.0}, {'term': 'visit', 'score': 579.0}, {'term': 'swimming', 'score': 548.0}, {'term': 'want', 'score': 534.0}, {'term': 'water', 'score': 373.0}, {'term': 'asked', 'score': 320.0}, {'term': 'said', 'score': 224.0}, {'term': 'plane', 'score': 188.0}]","{'title': ""Trump's Callous Response to Plane Crash"", 'description': ""The posts criticize President Trump for his dismissive and sarcastic response when asked about visiting the site of a deadly plane crash in Washington, D.C., where 67 people died. His comment, 'You want me to go swimming?', is widely condemned as lacking empathy and professionalism.""}",621
part_a,27,"[{'term': 'trump', 'score': 53864.0}, {'term': 'crash', 'score': 19211.0}, {'term': 'plane', 'score': 13432.0}, {'term': 'air', 'score': 13213.0}, {'term': 'faa', 'score': 10443.0}, {'term': 'dei', 'score': 10304.0}, {'term': 'traffic', 'score': 7078.0}, {'term': 'safety', 'score': 6848.0}, {'term': 'people', 'score': 6640.0}, {'term': 'aviation', 'score': 6586.0}]","{'title': 'Trump Blames DEI for Plane Crash Amid Safety Cuts', 'description': ""The posts condemn Donald Trump's unfounded claim that Diversity, Equity, and Inclusion (DEI) policies caused a deadly midair collision near Washington, DC. They highlight his administration's recent dismantling of aviation safety agencies, freezing of air traffic controller hiring, and firing of key officials as the real threats to aviation safety.""}",42206
part_a,28,"[{'term': 'trump', 'score': 1054.0}, {'term': 'white', 'score': 876.0}, {'term': 'state', 'score': 677.0}, {'term': 'beattie', 'score': 605.0}, {'term': 'darren', 'score': 468.0}, {'term': 'department', 'score': 444.0}, {'term': 'fired', 'score': 372.0}, {'term': 'men', 'score': 298.0}, {'term': 'competent', 'score': 286.0}, {'term': 'charge', 'score': 284.0}]","{'title': 'Trump Appoints Controversial Figure with White Nationalist Ties', 'description': ""Darren Beattie, a former Trump speechwriter fired in 2018 for attending a white nationalist conference, has been appointed acting Under Secretary for Public Diplomacy & Public Affairs at the State Department. His past remarks calling for 'competent white men' to be in charge and urging Black lawmakers to 'take a knee to MAGA' have sparked widespread criticism over his ideology and fitness for the role.""}",625
part_a,29,"[{'term': 'gulf', 'score': 13939.0}, {'term': 'trump', 'score': 10781.0}, {'term': 'mexico', 'score': 7781.0}, {'term': 'america', 'score': 6155.0}, {'term': 'rename', 'score': 2431.0}, {'term': 'change', 'score': 2149.0}, {'term': 'president', 'score': 1696.0}, {'term': 'google', 'score': 1684.0}, {'term': 'donald', 'score': 1299.0}, {'term': 'renaming', 'score': 1256.0}]","{'title': ""Trump's Gulf of America Naming Controversy"", 'description': ""A satirical and critical social media response to Donald Trump's proposal to rename the Gulf of Mexico as the 'Gulf of America,' highlighting backlash from global users, political figures, and the public over what is seen as performative nationalism and a disregard for geographic and international norms.""}",9189
part_a,30,"[{'term': 'trump', 'score': 1529.0}, {'term': 'denali', 'score': 1279.0}, {'term': 'mckinley', 'score': 1000.0}, {'term': 'mount', 'score': 577.0}, {'term': 'president', 'score': 514.0}, {'term': 'mountain', 'score': 498.0}, {'term': 'alaska', 'score': 494.0}, {'term': 'rename', 'score': 434.0}, {'term': 'america', 'score': 407.0}, {'term': 'tallest', 'score': 346.0}]","{'title': ""Trump's Denali Name Change Controversy"", 'description': ""A cluster of posts criticizes Donald Trump's decision to reverse the 2015 renaming of North America’s tallest mountain from Denali to Mount McKinley, framing it as a racially charged, culturally insensitive act targeting Indigenous heritage and Alaska’s identity. The posts highlight widespread backlash from Alaskans, Native communities, and lawmakers who view the move as a political stunt undermining historical and cultural recognition.""}",1019
part_a,31,"[{'term': 'trump', 'score': 1167.0}, {'term': 'cohn', 'score': 1031.0}, {'term': 'roy', 'score': 896.0}, {'term': 'donald', 'score': 262.0}, {'term': 'mccarthy', 'score': 191.0}, {'term': 'attack', 'score': 166.0}, {'term': 'mentor', 'score': 153.0}, {'term': 'lawyer', 'score': 128.0}, {'term': 'taught', 'score': 126.0}, {'term': 'deny', 'score': 91.0}]","{'title': ""Roy Cohn's Shadow Over Trump"", 'description': ""These posts explore the profound influence of Roy Cohn—homosexual, anti-Communist prosecutor, and mentor to Donald Trump—on Trump’s political tactics, personality, and worldview. The recurring theme is that Cohn’s 'attack, deny, claim victory' playbook laid the foundation for Trump’s rise and ongoing political behavior.""}",818
part_a,32,"[{'term': 'trump', 'score': 1348.0}, {'term': 'nobel', 'score': 1188.0}, {'term': 'prize', 'score': 1155.0}, {'term': 'peace', 'score': 944.0}, {'term': 'donald', 'score': 168.0}, {'term': 'wants', 'score': 142.0}, {'term': 'president', 'score': 140.0}, {'term': 'obama', 'score': 130.0}, {'term': 'win', 'score': 113.0}, {'term': 'nominated', 'score': 113.0}]","{'title': ""Trump's Nobel Peace Prize Controversy"", 'description': 'Posts critique Republican lawmakers and supporters who have nominated Donald Trump for the Nobel Peace Prize, mocking the idea given his controversial record, while highlighting the irony and absurdity of the claims amid widespread criticism from Nobel laureates and observers.'}",1121
part_a,33,"[{'term': 'swamp', 'score': 1999.0}, {'term': 'trump', 'score': 1831.0}, {'term': 'drain', 'score': 746.0}, {'term': 'draining', 'score': 359.0}, {'term': 'people', 'score': 165.0}, {'term': 'just', 'score': 161.0}, {'term': 'donald', 'score': 154.0}, {'term': 'going', 'score': 151.0}, {'term': 'like', 'score': 149.0}, {'term': 'said', 'score': 138.0}]","{'title': ""Trump's 'Drain the Swamp' Promise: A Swamp of Hypocrisy"", 'description': ""The posts critique Donald Trump's repeated pledge to 'drain the swamp' in Washington, highlighting the irony and hypocrisy of his administration's appointments of billionaires, lobbyists, and controversial figures—effectively filling the swamp with his own brand of corruption and elitism.""}",1631
part_a,34,"[{'term': 'trump', 'score': 850.0}, {'term': 'dome', 'score': 733.0}, {'term': 'iron', 'score': 675.0}, {'term': 'defense', 'score': 356.0}, {'term': 'missile', 'score': 271.0}, {'term': 'order', 'score': 187.0}, {'term': 'america', 'score': 178.0}, {'term': 'president', 'score': 152.0}, {'term': 'executive', 'score': 139.0}, {'term': 'wants', 'score': 136.0}]","{'title': ""Trump's 'Iron Dome for America' Plan"", 'description': ""The posts center on criticism and skepticism toward Donald Trump's proposal to create a U.S. missile defense system modeled after Israel's Iron Dome. Many highlight the plan's impracticality, high cost, and misunderstanding of the system's purpose, suggesting it's more about political theater than real national security.""}",600
part_a,35,"[{'term': 'trump', 'score': 53613.0}, {'term': '2025', 'score': 47572.0}, {'term': 'project', 'score': 47553.0}, {'term': 'people', 'score': 6611.0}, {'term': 'maga', 'score': 5828.0}, {'term': 'just', 'score': 4954.0}, {'term': 'vought', 'score': 4787.0}, {'term': 'know', 'score': 4621.0}, {'term': 'plan', 'score': 4291.0}, {'term': 'said', 'score': 4272.0}]","{'title': ""Project 2025: Trump's Hidden Agenda"", 'description': ""These posts expose the deep alignment between Donald Trump and the conservative policy blueprint Project 2025, despite Trump's repeated denials. They highlight how the plan, authored by right-wing groups like the Heritage Foundation, aims to dismantle federal agencies, promote authoritarian governance, and advance a far-right Christian nationalist agenda—now being implemented through Trump’s administration.""}",42572
part_a,36,"[{'term': 'trump', 'score': 1505.0}, {'term': 'noem', 'score': 1407.0}, {'term': 'kristi', 'score': 1121.0}, {'term': 'security', 'score': 1093.0}, {'term': 'homeland', 'score': 1046.0}, {'term': 'secretary', 'score': 717.0}, {'term': 'south', 'score': 432.0}, {'term': 'dakota', 'score': 429.0}, {'term': 'donald', 'score': 270.0}, {'term': 'gov', 'score': 265.0}]","{'title': ""Trump's DHS Pick: Noem Controversy"", 'description': 'The posts center on the confirmation of Kristi Noem as Homeland Security Secretary under Donald Trump, highlighting widespread criticism over her lack of experience, her controversial dog-killing incident, poor disaster response in South Dakota, and her hardline immigration stance. Many express concern over her loyalty to Trump and the implications for civil liberties and government accountability.'}",979
part_a,37,"[{'term': 'stefanik', 'score': 900.0}, {'term': 'trump', 'score': 839.0}, {'term': 'elise', 'score': 627.0}, {'term': 'ambassador', 'score': 397.0}, {'term': 'united', 'score': 237.0}, {'term': 'nations', 'score': 209.0}, {'term': 'rep', 'score': 200.0}, {'term': 'new', 'score': 153.0}, {'term': 'republican', 'score': 152.0}, {'term': 'donald', 'score': 141.0}]","{'title': ""Elise Stefanik's UN Appointment Controversy"", 'description': ""Posts center on the political backlash and scrutiny surrounding Rep. Elise Stefanik's nomination as U.S. Ambassador to the United Nations. Critics highlight her loyalty to Donald Trump, her controversial stances on elections and foreign policy, and her role in promoting 'America First' and defunding UNRWA, while supporters emphasize her alignment with Trump’s agenda and her political rise within the MAGA movement.""}",577
part_a,38,"[{'term': 'trump', 'score': 1060.0}, {'term': 'tuskegee', 'score': 962.0}, {'term': 'airmen', 'score': 914.0}, {'term': 'air', 'score': 914.0}, {'term': 'force', 'score': 816.0}, {'term': 'pilots', 'score': 465.0}, {'term': 'black', 'score': 410.0}, {'term': 'history', 'score': 384.0}, {'term': 'dei', 'score': 359.0}, {'term': 'training', 'score': 351.0}]","{'title': ""Trump's DEI Order & Erasure of Tuskegee Airmen"", 'description': 'Posts express outrage over the U.S. Air Force removing training materials about the Tuskegee Airmen and female WWII pilots following President Trump’s executive order banning DEI programs. Critics accuse the administration of attempting to erase Black and women’s contributions to military history, framing it as racist and anti-democratic.'}",882
