Code_Name,Definition,Inclusion_Criteria,Exclusion_Criteria,Example_Excerpts,Number_of_Microtopics
White House Administration,Trump administration changes to federal websites and information access.,Apply when white house administration is central to the excerpt.,Do not apply when white house administration appears only in passing.,"{'title': ""Trump Admin's Website Overhaul and Data Purge"", 'description': ""The posts document widespread concerns over the Trump administration's immediate changes to federal websites, including the replacement of the White House site with propaganda content, the deletion of historical data, and the potential loss of public information. Users urge archiving critical government resources to preserve transparency and prevent historical revisionism.""}; {'title': 'Trump Fires Prosecutors Who Investigated Him', 'description': 'The Trump administration fired over a dozen career prosecutors who worked on special counsel Jack Smith’s investigations into Donald Trump, including cases related to the January 6 Capitol attack and classified documents. The move, reportedly ordered by Trump himself, is widely criticized as retaliation and a threat to the independence of the Justice Department.'}; {'title': ""Trump Bans Trans Athletes in Women's Sports"", 'description': ""President Trump signs an executive order banning transgender women and girls from competing in women's sports, citing the need to protect 'biological women.' The move, framed as a campaign promise, triggers national debate over fairness, rights, and political motivations, with widespread criticism from LGBTQ+ advocates and sports organizations.""}; {'title': 'Trump vs. the CIA: Power Struggle and Paranoia', 'description': ""The posts reflect widespread concern and speculation about Donald Trump's attempts to dismantle or control the CIA, with fears that his actions threaten national security, expose agents, and undermine intelligence integrity. Many express anxiety over the potential for political retaliation, espionage, or a mass exodus of intelligence professionals.""}; {'title': ""Trump's Pete Rose Pardon Controversy"", 'description': ""President Trump's call to posthumously pardon disgraced baseball star Pete Rose has sparked widespread backlash, with critics highlighting Rose's history of gambling, tax evasion, and sexual misconduct. The move is seen as a political distraction and a reflection of Trump's alignment with controversial figures.""}",44
Courts Doj,"Concerns about attorney general nomination, conflicts, and independence in justice leadership.",Apply when courts doj is central to the excerpt.,Do not apply when courts doj appears only in passing.,"{'title': ""Pam Bondi's Controversial AG Nomination"", 'description': ""The posts center on widespread criticism of Pam Bondi's nomination as U.S. Attorney General, highlighting her history of loyalty to Donald Trump, the $25,000 donation from the Trump Foundation that coincided with dropping the Trump University fraud case, and her role in promoting the 2020 election lies. Critics argue she is unfit for the role due to conflicts of interest, corruption, and lack of independence.""}; {'title': 'Trump-Egypt Bribe Probe Shut Down by Barr', 'description': 'A secret U.S. investigation into allegations that Egyptian President Sisi attempted to bribe Donald Trump with $10 million in cash during the 2016 campaign was halted by then-Attorney General Bill Barr. Despite classified intelligence and a major cash withdrawal linked to Egypt, the case was closed, sparking ongoing calls for accountability and further inquiry.'}; {'title': ""Trump's Federal Funding Freeze Backlash"", 'description': 'A sweeping freeze on federal grants and loans by the Trump administration sparked legal challenges, state lawsuits, and widespread chaos, with courts blocking the order and accusing the administration of overstepping its authority. Despite a reversal, concerns remain over ongoing non-compliance and attempts to undermine congressional funding decisions.'}; {'title': ""Wray's Resignation and Trump's FBI Purge"", 'description': ""FBI Director Christopher Wray, appointed by Trump, announces his resignation ahead of Trump's return to office, sparking debate over whether his move is a principled stand or surrender to political pressure. Critics argue it enables Trump to install loyalist Kash Patel, undermining FBI independence.""}; {'title': 'Trump’s Threat to Weaponize the DOJ', 'description': 'The posts express widespread concern that a second Trump administration would completely politicize and weaponize the Department of Justice, undermining its independence and using it for personal revenge against critics. Many argue that Trump’s past actions and promises reveal a clear intent to control the DOJ for political gain.'}",37
Public Health,Aid freeze creating humanitarian risks and global concerns.,Apply when public health is central to the excerpt.,Do not apply when public health appears only in passing.,"{'title': 'Trump and Musk Target USAID Amid Global Aid Crisis', 'description': 'The Trump administration, backed by Elon Musk, has frozen nearly all foreign aid funding and recalled USAID staff worldwide, sparking global humanitarian concerns. Critics argue the move undermines U.S. soft power, endangers lives, and benefits adversaries like China and Russia.'}; {'title': 'Trump Administration and Bird Flu Crisis', 'description': 'The posts express widespread concern that the incoming Trump administration is downplaying and suppressing information about the escalating H5N1 bird flu outbreak, drawing parallels to its mishandling of the COVID-19 pandemic. Critics warn that political interference, censorship of health agencies, and anti-science leadership could lead to a preventable public health disaster.'}; {'title': 'TB Outbreak in Kansas Amid CDC Shutdown', 'description': ""A major tuberculosis outbreak in Kansas has become the largest in U.S. history, with over 60 active cases reported. Critics allege the Trump administration's freeze on CDC communications has suppressed public warnings and hindered the response.""}; {'title': ""Trump's Pandemic Mismanagement and Legacy"", 'description': ""These posts collectively criticize Donald Trump's handling of the COVID-19 pandemic, highlighting his downplaying of the virus, denial of science, and policies that contributed to widespread deaths and societal disruption. The cluster reflects ongoing anger and concern over his potential return to office amid future health crises.""}; {'title': 'MAGA and Anti-Vaccine Sentiment', 'description': 'The posts collectively express frustration and mockery toward the perceived correlation between MAGA political identity and opposition to vaccines, highlighting concerns about public health, misinformation, and the consequences of anti-science beliefs. The tone is largely critical, using satire and hyperbole to emphasize the perceived dangers of rejecting medical consensus.'}",37
Education Policy,Controversies over religious content and mandates in public schools.,Apply when education policy is central to the excerpt.,Do not apply when education policy appears only in passing.,"{'title': ""Oklahoma's Trump Bible Controversy"", 'description': ""Oklahoma's State Superintendent Ryan Walters is facing backlash for using taxpayer funds to purchase expensive 'Trump Bibles' for public schools and mandating students watch a video of him praying for Donald Trump. Critics argue the actions violate the separation of church and state and represent a broader push for Christian nationalism in education.""}; {'title': ""Trump's War on Higher Education"", 'description': ""These posts reflect widespread concern among educators and leaders about a potential second Trump administration's aggressive plans to dismantle or reshape higher education, including attacks on academic freedom, endowments, accreditation, and diversity initiatives. Many fear institutional compliance and systemic erosion of public higher education.""}; {'title': ""Trump Bans Trans Athletes in Women's Sports"", 'description': ""President Trump signs an executive order banning transgender women and girls from competing in women's sports, citing the need to protect 'biological women.' The move, framed as a campaign promise, triggers national debate over fairness, rights, and political motivations, with widespread criticism from LGBTQ+ advocates and sports organizations.""}; {'title': ""Academics Fleeing Trump's America"", 'description': 'Prominent Yale professors, including fascism expert Jason Stanley and historians Timothy Snyder and Marci Shore, are relocating to Canada amid concerns over authoritarianism, attacks on academic freedom, and rising political extremism under the Trump administration. Their departure signals a growing brain drain and a warning about the state of democracy in the U.S.'}; {'title': ""Trump Admin's Student Visa Crackdown and Reversal"", 'description': 'The Trump administration abruptly revoked the visas of hundreds of international students across the U.S., often without clear justification, sparking legal challenges, protests, and widespread concern over due process and free speech. After intense judicial scrutiny and public backlash, the administration reversed course and restored most visa statuses, though fears remain about future actions.'}",36
Fascism Authoritarianism,Opposition framed as resistance to authoritarian federal actions.,Apply when fascism authoritarianism is central to the excerpt.,Do not apply when fascism authoritarianism appears only in passing.,"{'title': 'Pritzker Leads Illinois Resistance to Trump', 'description': 'Illinois Governor JB Pritzker emerges as a leading voice in the Democratic opposition to Donald Trump, vowing to protect state residents and challenge unconstitutional federal actions. His bold stance, backed by a coalition of Democratic governors, positions him as a potential national figure in the fight against authoritarianism.'}; {'title': 'Trump as a Clear and Present Danger', 'description': 'These posts collectively express widespread concern that Donald Trump poses an existential threat to American democracy, safety, and stability. The recurring theme is that his leadership undermines national security, divides the country, and endangers both citizens and institutions.'}; {'title': 'MAGA, Police, and the Erosion of Trust', 'description': ""These posts critique the growing alignment between MAGA supporters and law enforcement, highlighting concerns over police loyalty, violence against officers, and the politicization of 'Blue Lives Matter.' The cluster expresses outrage over perceived hypocrisy, where MAGA glorifies police only when they serve authoritarian agendas, while attacking them when they uphold justice or protect marginalized communities.""}; {'title': 'Trump, Musk, and Putin: The Puppet Master Triumvirate', 'description': 'These posts allege a deep, coordinated alliance between Donald Trump, Elon Musk, and Vladimir Putin, portraying them as interconnected figures where Trump and Musk are manipulated or controlled by Putin. The narrative suggests a conspiracy involving blackmail, foreign influence, and the erosion of U.S. democracy through a shadowy, Russia-backed power structure.'}; {'title': 'Trump and the Erosion of the Constitution', 'description': 'The posts collectively express widespread concern that Donald Trump and his allies are systematically undermining the U.S. Constitution, dismissing it as irrelevant or disposable. Many argue that his actions and rhetoric represent a fundamental threat to constitutional democracy, with fears that he may dismantle or rewrite it to consolidate power.'}",31
Canada U S Relations,"Cross-border tensions, sovereignty concerns, and Canadian national identity.",Apply when canada u s relations is central to the excerpt.,Do not apply when canada u s relations appears only in passing.,"{'title': ""Trump's Gretzky PM Joke Sparks Outrage"", 'description': ""Posts react with anger and disbelief to Donald Trump's claim that he urged Wayne Gretzky to run for Canadian Prime Minister, criticizing Gretzky's perceived political alignment with Trump and questioning his loyalty to Canada. The comments reflect broader concerns about foreign interference, celebrity politics, and national identity.""}; {'title': ""Trump's Annexation Rhetoric: Distraction or Danger?"", 'description': ""The posts center on widespread concern over Donald Trump's repeated, outlandish statements about acquiring Greenland, Canada, and the Panama Canal. Critics argue these remarks are not idle musings but dangerous distractions from his actual policies, undermining alliances, and signaling authoritarian ambitions.""}; {'title': ""Doug Ford's Trump Alignment Under Scrutiny"", 'description': ""The posts critique Ontario Premier Doug Ford's long-standing support for Donald Trump and Elon Musk, questioning his credibility and motives amid U.S. tariff threats. Critics argue his recent 'patriotic' stance is opportunistic, driven by political self-interest rather than genuine concern for Canada.""}; {'title': 'Canada Bans U.S. Liquor from Red States', 'description': 'Canadian provinces, including British Columbia and Ontario, are removing alcohol from Republican-led U.S. states in response to proposed Trump tariffs. The move targets bourbon and whiskey producers in states like Kentucky and Tennessee, sparking backlash and concern over economic fallout.'}; {'title': ""Canadian MPs Condemn Trump's Attacks"", 'description': ""Canadian politicians, notably MP Charlie Angus and Green Party leader Elizabeth May, deliver fiery speeches denouncing Donald Trump's rhetoric and actions, emphasizing Canada's resilience and commitment to democratic values in the face of perceived threats from the U.S. president-elect.""}",31
Republican Politics,Highlights Republican leaders’ and donors’ complicity in supporting Trump’s vision.,Apply when republican politics is central to the excerpt.,Do not apply when republican politics appears only in passing.,"{'title': ""Trump's Gaza Takeover Plan and Its Consequences"", 'description': ""The posts critique Donald Trump's proposed plan to take control of Gaza, redevelop it as a luxury resort, and displace Palestinians, highlighting concerns about ethnic cleansing, U.S. foreign policy, and the complicity of Republican leaders and donors. The cluster underscores fears that Trump’s vision prioritizes profit and political gain over Palestinian rights and regional peace.""}; {'title': ""Pam Bondi's Controversial AG Nomination"", 'description': ""The posts center on widespread criticism of Pam Bondi's nomination as U.S. Attorney General, highlighting her history of loyalty to Donald Trump, the $25,000 donation from the Trump Foundation that coincided with dropping the Trump University fraud case, and her role in promoting the 2020 election lies. Critics argue she is unfit for the role due to conflicts of interest, corruption, and lack of independence.""}; {'title': ""Joe Rogan's Shift to MAGA and Political Influence"", 'description': ""The posts center on Joe Rogan's controversial pivot from a perceived liberal stance to overt support for Donald Trump, sparking debate over his credibility, influence on young male voters, and role as a political amplifier. Many argue his endorsement and platforming of Trump have significantly impacted the political landscape, despite claims of neutrality.""}; {'title': ""Trump's Height and Weight Controversy"", 'description': 'A cluster of social media posts questioning Donald Trump\'s claimed height of 6\'3"" and weight of 215 lbs, highlighting inconsistencies, comparisons with other figures, and skepticism about his physical stature and honesty.'}; {'title': 'MAGA and Anti-Vaccine Sentiment', 'description': 'The posts collectively express frustration and mockery toward the perceived correlation between MAGA political identity and opposition to vaccines, highlighting concerns about public health, misinformation, and the consequences of anti-science beliefs. The tone is largely critical, using satire and hyperbole to emphasize the perceived dangers of rejecting medical consensus.'}",28
Political Controversy,Speculation about manipulation and political implications around Polymarket.,Apply when political controversy is central to the excerpt.,Do not apply when political controversy appears only in passing.,"{'title': 'Polymarket Election Betting & FBI Raid Controversy', 'description': 'A cluster of posts discusses the controversy surrounding Polymarket, a prediction market that accurately forecast a Trump victory, leading to an FBI raid on its CEO’s home. Many users speculate about market manipulation, wealthy donors influencing odds, and the political implications of betting markets shaping public perception of the election.'}; {'title': 'Trump Found Liable for Sexual Abuse, Judge Says It Was Rape', 'description': ""A New York federal judge ruled that Donald Trump's actions against E. Jean Carroll—digital penetration without consent—constituted rape under common understanding, despite the jury not finding him liable under New York's narrow legal definition of rape. The judge emphasized that the verdict aligns with how most people define rape, even if the law differs.""}; {'title': 'Alito-Trump Call Sparks Ethics Crisis', 'description': 'A phone call between Justice Samuel Alito and Donald Trump just before Trump filed a Supreme Court appeal has ignited widespread accusations of corruption and conflict of interest, with critics demanding Alito recuse himself from all Trump-related cases.'}; {'title': ""Trump's 'I Don't Know' on Constitution Oath"", 'description': ""Multiple social media posts highlight President Donald Trump's response of 'I don't know' when asked if he is required to uphold the U.S. Constitution, sparking widespread outrage and concern over his understanding of his presidential oath and constitutional duties.""}; {'title': 'Netanyahu Nominates Trump for Nobel Peace Prize', 'description': ""Israeli Prime Minister Benjamin Netanyahu's nomination of Donald Trump for the Nobel Peace Prize has sparked widespread ridicule and condemnation, with critics highlighting the absurdity of a war criminal endorsing another controversial figure amid ongoing conflicts in Gaza and the Middle East.""}",23
Political Extremism,"Proposal seen as absurd, dangerous, and historically inappropriate.",Apply when political extremism is central to the excerpt.,Do not apply when political extremism appears only in passing.,"{'title': 'Trump on Mount Rushmore: Bill Sparks Outrage', 'description': ""A bill introduced by Florida Representative Anna Paulina Luna to carve Donald Trump's face onto Mount Rushmore has ignited widespread criticism and mockery, with opponents calling it absurd, dangerous, and historically inappropriate. The proposal has become a symbol of what many see as the extreme and unserious direction of some MAGA-aligned politics.""}; {'title': 'Trump Assassination Attempt Conspiracy Theories', 'description': ""A cluster of social media posts centered on widespread skepticism and conspiracy theories surrounding a recent attempted assassination of Donald Trump. Many users question the authenticity of the event, speculate about staged attacks, and suggest motives ranging from political manipulation to insider plots, despite official reports confirming the incident and the shooter's arrest.""}; {'title': 'Mass Blocking of Trump Supporters Online', 'description': 'Users are actively blocking and reporting accounts associated with Donald Trump, citing ideological opposition, hate speech, and trolling behavior. The posts reflect a coordinated effort to purge pro-Trump voices from online spaces, driven by strong political polarization and a desire to avoid engagement with perceived extremism.'}; {'title': 'Calls to Institutionalize Trump', 'description': 'The posts collectively express strong, repeated demands for Donald Trump to be institutionalized in a mental health facility, citing his perceived mental instability, dangerous rhetoric, and unfit behavior for public office. The sentiment is uniformly critical, using hyperbolic language to emphasize concern over his fitness to lead.'}; {'title': ""Trump's Mental Fitness Under Scrutiny"", 'description': 'A cluster of posts expresses widespread concern that Donald Trump is mentally unfit for office, citing delusions, erratic behavior, and deteriorating mental health. The discussion centers on calls for a formal mental evaluation and questions about his ability to govern responsibly.'}",23
White House Policy,Presidential policies and promises affecting housing affordability.,Apply when white house policy is central to the excerpt.,Do not apply when white house policy appears only in passing.,"{'title': 'Trump, Housing, and the Affordability Crisis', 'description': ""These posts critique Trump's promises to fix the housing crisis, arguing his policies would worsen affordability. They highlight the disconnect between rhetoric and reality, emphasizing that housing shortages stem from systemic issues like zoning, supply constraints, and private equity speculation—problems Trump’s approach fails to address.""}; {'title': ""Trump's Tariff Chaos on China Imports"", 'description': ""A flurry of social media posts reacts to President Trump's abrupt reversal on ending the de minimis tariff exemption for small packages from China, causing confusion, logistical chaos, and backlash over disrupted e-commerce deliveries and sudden policy U-turns.""}; {'title': 'Trump Closes Legal Asylum App, Stranding Migrants', 'description': 'The Trump administration abruptly shut down the CBP One app, canceling thousands of legal asylum appointments and leaving migrants who followed the rules stranded in Mexico. The move halts a key pathway for orderly migration, sparking widespread condemnation and fears of increased illegal crossings.'}; {'title': ""Trump's White South African Refugee Program"", 'description': ""A cluster of posts criticizes Donald Trump's executive order offering expedited citizenship to white South Africans, accusing it of racial bias, promoting white supremacist narratives, and serving the interests of Elon Musk and far-right agendas. The posts highlight the contradiction of rejecting other refugees while welcoming white Afrikaners, despite widespread denial of systemic anti-white persecution in South Africa.""}; {'title': ""Trump's English Language Executive Order"", 'description': ""A cluster of posts reacting to President Trump's planned executive order to designate English as the official language of the United States, highlighting irony, criticism of his language proficiency, and concerns over impacts on immigrant communities and multilingual access to government services.""}",23
Immigration Policy,Restrictions on refugee resettlement and entry into the United States.,Apply when immigration policy is central to the excerpt.,Do not apply when immigration policy appears only in passing.,"{'title': 'Trump Halts Afghan Refugee Resettlement', 'description': 'The Trump administration has canceled flights for nearly 1,660 Afghans cleared to resettle in the U.S., including family members of active-duty military personnel, amid a sweeping suspension of the refugee program. The move has drawn widespread condemnation for abandoning allies who supported U.S. efforts in Afghanistan.'}; {'title': 'Trump Closes Legal Asylum App, Stranding Migrants', 'description': 'The Trump administration abruptly shut down the CBP One app, canceling thousands of legal asylum appointments and leaving migrants who followed the rules stranded in Mexico. The move halts a key pathway for orderly migration, sparking widespread condemnation and fears of increased illegal crossings.'}; {'title': ""Trump's Hypocrisy on Undocumented Workers"", 'description': ""The posts expose Donald Trump's long history of employing undocumented immigrants at his properties, despite his public rhetoric against illegal immigration. They highlight the hypocrisy of a political figure who profits from cheap, exploited labor while advocating for harsh immigration enforcement.""}; {'title': ""Trump's Hardline Border Czar: Homan's Mass Deportation Agenda"", 'description': ""Posts focus on Tom Homan, Trump's newly appointed 'border czar,' and his pledge to lead the largest deportation operation in U.S. history. He has threatened to jail sanctuary city mayors, revive family detention, and use 'shock and awe' tactics, drawing widespread criticism for his role in past family separations and extremist rhetoric.""}; {'title': 'Trump Fires Immigration Judges Amid Deportation Push', 'description': 'The Trump administration has fired numerous immigration judges despite a 3.7 million-case backlog, undermining due process and raising concerns that the move is intended to accelerate deportations by weakening the legal system. Critics argue this is a strategic effort to bypass courts and erode judicial independence.'}",23
Authoritarianism,Highlights extremism and erosion of democratic norms.,Apply when authoritarianism is central to the excerpt.,Do not apply when authoritarianism appears only in passing.,"{'title': 'The Death of the GOP: Rise of the MAGA Party', 'description': ""These posts collectively argue that the Republican Party has been entirely overtaken by the MAGA movement, with many asserting that the traditional GOP no longer exists. The authors call for abandoning the term 'Republican' in favor of 'MAGA' or 'Trump Party,' emphasizing ideological extremism, loss of principle, and the erosion of democratic norms.""}; {'title': ""Republican Senators' Alleged Lack of Backbone"", 'description': 'The posts express widespread frustration and criticism toward Republican senators, accusing them of lacking moral courage, prioritizing party loyalty over national interests, and blindly following Donald Trump despite concerns about democratic erosion and unqualified appointments.'}; {'title': 'Jim Acosta Quits CNN Over Trump Pressure', 'description': 'Jim Acosta, a prominent CNN anchor known for his confrontational coverage of Donald Trump, announces his departure after refusing a late-night time slot reportedly intended to appease Trump. The move sparks widespread criticism, with supporters calling it a surrender to authoritarianism and a betrayal of journalistic integrity.'}; {'title': ""Trump's Threats Against Campus Protests"", 'description': ""A wave of social media posts condemns Donald Trump's threats to cut federal funding from colleges allowing 'illegal protests' and to imprison or deport student protesters. Critics warn these actions undermine First Amendment rights and represent a dangerous escalation toward authoritarianism.""}; {'title': 'Calls to Remove Trump from Office', 'description': ""The posts collectively express urgent demands for Donald Trump's removal from the presidency, citing his unfitness, dangerous behavior, and destructive impact on democracy. Many advocate for impeachment, resignation, or even drastic measures to end his influence immediately.""}",21
Gaza Israel Iran,U.S. withdrawal cites anti-Israel bias after Palestine's admission.,Apply when gaza israel iran is central to the excerpt.,Do not apply when gaza israel iran appears only in passing.,"{'title': 'U.S. Withdraws from UNESCO Again', 'description': ""The U.S. is withdrawing from UNESCO for the third time, citing anti-Israel bias and a 'woke agenda,' following the admission of Palestine. This move deepens America's retreat from multilateral institutions and boosts China's influence in global cultural and educational affairs.""}; {'title': ""Trump's Persian Gulf Name Change Plan"", 'description': ""A cluster of posts discusses President Donald Trump's reported plan to rename the Persian Gulf as the Arabian Gulf during his Middle East trip, sparking backlash from Iran and criticism over its symbolic and geopolitical implications.""}; {'title': 'Greta Thunberg and the Gaza Aid Flotilla', 'description': ""Posts center on Greta Thunberg's attempt to deliver humanitarian aid to Gaza aboard a pro-Palestinian flotilla, her detention by Israeli forces, and the backlash from Trump and MAGA figures who mock her. The discourse highlights political polarization, criticism of U.S.-Israel policy, and support for Thunberg as a symbol of moral courage.""}; {'title': 'Iran-Linked Hackers Threaten Trump Email Leak', 'description': ""An Iran-linked hacking group, operating under the alias 'Robert,' claims to possess 100GB of stolen emails from top Trump associates, including Susie Wiles, Roger Stone, and Stormy Daniels. U.S. officials dismiss the threat as a politically motivated smear campaign, while media outlets have authenticated some of the leaked data.""}; {'title': ""Trump's Qatar Gift Amid Hamas Funding Allegations"", 'description': ""A cluster of posts criticizes Donald Trump for accepting a $400 million airplane gift from Qatar, a country accused of being a major funder of Hamas and other terrorist groups. The posts highlight the perceived hypocrisy in Trump's past condemnation of Qatar as a terrorism sponsor versus his current acceptance of its gifts, raising concerns about corruption, foreign influence, and betrayal of U.S. values.""}",18
Gaza Conflict,"Critiques Trump’s Gaza plan, displacement, and implications for Palestinian rights.",Apply when gaza conflict is central to the excerpt.,Do not apply when gaza conflict appears only in passing.,"{'title': ""Trump's Gaza Takeover Plan and Its Consequences"", 'description': ""The posts critique Donald Trump's proposed plan to take control of Gaza, redevelop it as a luxury resort, and displace Palestinians, highlighting concerns about ethnic cleansing, U.S. foreign policy, and the complicity of Republican leaders and donors. The cluster underscores fears that Trump’s vision prioritizes profit and political gain over Palestinian rights and regional peace.""}; {'title': ""Trump's Scottish Golf Courses Under Scrutiny"", 'description': ""Posts focus on the controversy surrounding Donald Trump's golf resorts in Scotland, including financial losses, vandalism by pro-Palestinian activists over his Gaza remarks, political pressure to host the Open Championship, and criticism of UK government efforts to appease Trump.""}; {'title': ""Trump's 'Trump Gaza' AI Video Backlash"", 'description': 'A satirical AI-generated video depicting a luxury resort version of Gaza, featuring golden statues of Trump and bearded belly dancers, has sparked widespread condemnation. The video, shared by Trump on Truth Social, is widely seen as a grotesque trivialization of the humanitarian crisis in Gaza.'}; {'title': ""Trump's 'End the War in 24 Hours' Promise"", 'description': ""The posts critique Donald Trump's repeated claim during his campaign that he would end a major war within 24 hours of taking office, highlighting the failure to deliver on this promise and mocking it as a delusional, self-aggrandizing statement. The recurring theme is the contrast between his bold rhetoric and the ongoing conflict.""}; {'title': 'Starmer Meets Trump on Gaza and Palestinian Recognition', 'description': ""The posts revolve around UK Prime Minister Keir Starmer's upcoming meeting with Donald Trump, focusing on the UK's conditional plan to recognize a Palestinian state in September if Israel does not pursue a ceasefire. The discussions highlight tensions between Western allies, U.S. opposition to Palestinian statehood, and global pressure to end the humanitarian crisis in Gaza.""}",16
Military Violence,Focuses on militaristic origins and aggressive self-defense techniques.,Apply when military violence is central to the excerpt.,Do not apply when military violence appears only in passing.,"{'title': 'Krav Maga: Power, Controversy, and Self-Defense', 'description': 'This cluster explores Krav Maga through personal experiences, debates on its effectiveness, and critiques of its militaristic origins and aggressive techniques. Posts highlight its appeal as a practical self-defense system, while also questioning its ethics, real-world applicability, and cultural associations.'}; {'title': 'Republican Inaction on Gun Violence', 'description': ""The posts collectively condemn the Republican Party's repeated failure to enact meaningful gun control, linking it to political loyalty to the NRA, prioritization of gun rights over children's lives, and the normalization of school shootings. Many highlight the hypocrisy and indifference shown by Republican leaders after tragic events.""}; {'title': ""Trump's Incitement of Political Violence"", 'description': ""The posts collectively highlight widespread concern that Donald Trump's rhetoric consistently incites, normalizes, and glorifies political violence. Multiple contributors argue that his repeated use of violent language and encouragement of his supporters has created a climate where violence is seen as acceptable, with real-world consequences including attacks on political figures and heightened societal tension.""}; {'title': ""Trump's April 20th Insurrection Act Deadline"", 'description': 'A cluster of posts centers on the looming April 20, 2025, deadline for a joint Pentagon and DHS report on whether President Trump should invoke the Insurrection Act of 1807. The posts express widespread concern that Trump may use the report’s findings to justify deploying the military against American civilians, potentially leading to martial law and the suppression of protests, despite official assessments suggesting no immediate recommendation to do so.'}; {'title': ""Trump's Leaked Bomb Threats to Moscow and Beijing"", 'description': ""Newly released audio from 2024 fundraiser tapes shows Donald Trump claiming he threatened to bomb Moscow if Putin invaded Ukraine and Beijing if Xi attacked Taiwan. The Kremlin has questioned the report's authenticity, while critics call the remarks reckless and destabilizing.""}",15
Tariffs Trade,"Policy changes affecting imports, tariffs, and cross-border commerce.",Apply when tariffs trade is central to the excerpt.,Do not apply when tariffs trade appears only in passing.,"{'title': ""Trump's Tariff Chaos on China Imports"", 'description': ""A flurry of social media posts reacts to President Trump's abrupt reversal on ending the de minimis tariff exemption for small packages from China, causing confusion, logistical chaos, and backlash over disrupted e-commerce deliveries and sudden policy U-turns.""}; {'title': 'Trump Tariffs Backfire on Boeing', 'description': 'China halts Boeing deliveries in retaliation for U.S. tariffs, triggering a crisis for the American aerospace giant and sparking global shifts toward Airbus and Chinese manufacturers. The move threatens thousands of jobs and exposes the fragility of global supply chains.'}; {'title': ""UK & EU Reject Trump's Chlorinated Chicken Demand"", 'description': ""The posts express strong opposition to U.S. demands that the UK and EU accept chlorinated chicken and hormone-fed beef, citing food safety, animal welfare, and regulatory sovereignty. Many highlight that stricter EU standards are not protectionism but public health safeguards, and condemn Trump's trade threats as bullying and scientifically unfounded.""}; {'title': ""Bessent's Turmoil in Trump's Treasury"", 'description': ""Posts center on Treasury Secretary Scott Bessent's growing isolation and credibility crisis within Trump's second administration. Despite being seen initially as a rational voice, Bessent faces backlash for enabling Trump’s erratic economic policies, including damaging tariffs, while struggling to reconcile his role with mounting criticism from peers, Yale classmates, and the public.""}; {'title': ""Canadians Boycott U.S. Products Over Trump's Tariffs"", 'description': ""In response to Donald Trump's trade threats and rhetoric, Canadians have launched a widespread boycott of American goods and travel, driven by outrage over perceived insults to sovereignty. The movement, fueled by patriotism and economic resistance, is reshaping consumer behavior and pressuring U.S. businesses.""}",14
Courts Accountability,Legal challenge to bypassing Congress and violating spending law.,Apply when courts accountability is central to the excerpt.,Do not apply when courts accountability appears only in passing.,"{'title': ""Trump's Push to Control Federal Spending"", 'description': ""The posts center on concerns that Donald Trump is attempting to expand presidential power over federal spending by invoking 'impoundment'—a move that would bypass Congress's constitutional authority to control the purse. Critics argue this effort violates the 1974 Impoundment Control Act and threatens the balance of power between branches of government.""}; {'title': 'Trump Fires Immigration Judges Amid Deportation Push', 'description': 'The Trump administration has fired numerous immigration judges despite a 3.7 million-case backlog, undermining due process and raising concerns that the move is intended to accelerate deportations by weakening the legal system. Critics argue this is a strategic effort to bypass courts and erode judicial independence.'}; {'title': 'Court Forces Trump to Unfreeze EV Charger Funds', 'description': 'A federal judge ruled that the Trump administration unlawfully froze $5 billion in congressional funding for electric vehicle charging infrastructure. The decision mandates the release of funds to 14 states, though some areas like Minnesota, Vermont, and DC were excluded. The ruling upholds congressional authority over spending and marks a significant legal setback for the administration’s efforts to block clean energy infrastructure.'}; {'title': 'Trump Defies Court Orders with Impunity', 'description': ""The posts collectively express widespread concern and frustration over Donald Trump's repeated refusal to comply with judicial rulings, highlighting a pattern of ignoring court orders without consequence. Many emphasize the lack of enforcement mechanisms and growing skepticism about the courts' ability to hold Trump accountable.""}; {'title': 'Calls to Prosecute Trump for Treason', 'description': 'The posts collectively demand that Donald Trump and his allies be charged with treason, citing actions they believe constitute betrayal of the United States. The rhetoric is intense, calling for impeachment, arrest, and even capital punishment, framing Trump’s policies and rhetoric as criminal and subversive to democracy.'}",10
